Episode,Steps,Epsilon
89,254,0.8225010286703565
90,544,0.8216785276416861
91,162,0.8208568491140444
92,825,0.8200359922649304
93,288,0.8192159562726655
94,986,0.8183967403163929
95,277,0.8175783435760765
96,432,0.8167607652325004
97,217,0.8159440044672679
98,618,0.8151280604628006
99,186,0.8143129324023378
100,283,0.8134986194699355
101,381,0.8126851208504656
102,262,0.8118724357296152
103,164,0.8110605632938855
104,195,0.8102495027305916
105,341,0.809439253227861
106,520,0.8086298139746332
107,271,0.8078211841606585
108,190,0.8070133629764978
109,274,0.8062063496135213
110,774,0.8054001432639079
111,495,0.8045947431206439
112,381,0.8037901483775233
113,192,0.8029863582291458
114,403,0.8021833718709166
115,229,0.8013811884990457
116,410,0.8005798073105467
117,1450,0.7997792275032362
118,692,0.798979448275733
119,491,0.7981804688274572
120,279,0.7973822883586298
121,336,0.7965849060702711
122,167,0.7957883211642008
123,170,0.7949925328430366
124,475,0.7941975403101936
125,174,0.7934033427698834
126,223,0.7926099394271136
127,259,0.7918173294876865
128,433,0.7910255121581988
129,665,0.7902344866460407
130,239,0.7894442521593946
131,189,0.7886548079072352
132,194,0.787866153099328
133,228,0.7870782869462286
134,197,0.7862912086592824
135,542,0.7855049174506231
136,191,0.7847194125331725
137,294,0.7839346931206392
138,214,0.7831507584275186
139,428,0.7823676076690911
140,206,0.7815852400614219
141,351,0.7808036548213605
142,1480,0.7800228511665391
143,745,0.7792428283153726
144,510,0.7784635854870573
145,185,0.7776851219015702
146,131,0.7769074367796687
147,194,0.776130529342889
148,608,0.7753543988135461
149,262,0.7745790444147325
150,281,0.7738044653703178
151,321,0.7730306609049474
152,257,0.7722576302440425
153,211,0.7714853726137985
154,157,0.7707138872411846
155,125,0.7699431733539435
156,150,0.7691732301805895
157,268,0.7684040569504089
158,126,0.7676356528934585
159,207,0.766868017240565
160,135,0.7661011492233244
161,290,0.765335048074101
162,192,0.7645697130260269
163,216,0.7638051433130009
164,117,0.7630413381696879
165,188,0.7622782968315182
166,320,0.7615160185346866
167,163,0.760754502516152
168,132,0.7599937480136358
169,203,0.7592337542656222
170,221,0.7584745205113566
171,140,0.7577160459908452
172,175,0.7569583299448543
173,307,0.7562013716149095
174,174,0.7554451702432946
175,145,0.7546897250730513
176,125,0.7539350353479782
177,138,0.7531811003126303
178,169,0.7524279192123177
179,111,0.7516754912931053
180,195,0.7509238158018122
181,126,0.7501728919860104
182,257,0.7494227190940245
183,149,0.7486732963749304
184,134,0.7479246230785555
185,228,0.7471766984554769
186,161,0.7464295217570214
187,328,0.7456830922352643
188,128,0.7449374091430291
189,181,0.744192471733886
190,167,0.7434482792621522
191,179,0.74270483098289
192,136,0.741962126151907
193,148,0.7412201640257551
194,193,0.7404789438617293
195,453,0.7397384649178675
196,235,0.7389987264529497
197,196,0.7382597277264967
198,227,0.7375214679987703
199,104,0.7367839465307715
200,174,0.7360471625842407
201,150,0.7353111154216565
202,176,0.7345758043062348
203,237,0.7338412285019286
204,236,0.7331073872734266
205,191,0.7323742798861532
206,159,0.7316419056062671
207,148,0.7309102637006608
208,147,0.7301793534369602
209,91,0.7294491740835232
210,208,0.7287197249094396
211,154,0.7279910051845302
212,220,0.7272630141793457
213,85,0.7265357511651663
214,143,0.7258092154140011
215,153,0.7250834061985871
216,219,0.7243583227923885
217,186,0.7236339644695962
218,234,0.7229103305051265
219,125,0.7221874201746215
220,143,0.7214652327544469
221,275,0.7207437675216924
222,119,0.7200230237541707
223,119,0.7193030007304165
224,155,0.7185836977296861
225,198,0.7178651140319564
226,209,0.7171472489179245
227,280,0.7164301016690066
228,159,0.7157136715673376
229,213,0.7149979578957703
230,127,0.7142829599378745
231,134,0.7135686769779366
232,145,0.7128551083009587
233,167,0.7121422531926577
234,119,0.7114301109394651
235,187,0.7107186808285256
236,109,0.7100079621476971
237,110,0.7092979541855494
238,159,0.7085886562313639
239,154,0.7078800675751326
240,185,0.7071721875075574
241,203,0.7064650153200498
242,168,0.7057585503047298
243,157,0.705052791754425
244,184,0.7043477389626706
245,121,0.7036433912237079
246,197,0.7029397478324841
247,126,0.7022368080846516
248,254,0.7015345712765669
249,137,0.7008330367052904
250,126,0.7001322036685851
251,227,0.6994320714649165
252,173,0.6987326393934515
253,116,0.6980339067540581
254,103,0.697335872847304
255,201,0.6966385369744568
256,145,0.6959418984374823
257,166,0.6952459565390449
258,204,0.6945507105825058
259,151,0.6938561598719233
260,213,0.6931623037120513
261,198,0.6924691414083393
262,183,0.691776672266931
263,213,0.691084895594664
264,221,0.6903938106990694
265,139,0.6897034168883703
266,182,0.689013713471482
267,125,0.6883246997580105
268,164,0.6876363750582525
269,184,0.6869487386831943
270,134,0.686261789944511
271,201,0.6855755281545666
272,99,0.6848899526264121
273,119,0.6842050626737857
274,122,0.6835208576111119
275,122,0.6828373367535008
276,152,0.6821544994167473
277,142,0.6814723449173306
278,142,0.6807908725724132
279,159,0.6801100816998408
280,156,0.6794299716181409
281,150,0.6787505416465227
282,118,0.6780717911048761
283,187,0.6773937193137712
284,116,0.6767163255944575
285,185,0.6760396092688631
286,151,0.6753635696595942
287,106,0.6746882060899346
288,163,0.6740135178838447
289,152,0.6733395043659608
290,84,0.6726661648615948
291,152,0.6719934986967332
292,98,0.6713215051980365
293,173,0.6706501836928385
294,138,0.6699795335091456
295,147,0.6693095539756365
296,162,0.6686402444216609
297,165,0.6679716041772392
298,126,0.667303632573062
299,126,0.666636328940489
300,105,0.6659696926115485
301,145,0.6653037229189369
302,114,0.664638419196018
303,142,0.6639737807768219
304,93,0.663309806996045
305,135,0.662646497189049
306,138,0.6619838506918599
307,124,0.6613218668411681
308,108,0.6606605449743269
309,111,0.6599998844293525
310,137,0.6593398845449232
311,130,0.6586805446603783
312,141,0.658021864115718
313,126,0.6573638422516023
314,152,0.6567064784093507
315,152,0.6560497719309414
316,84,0.6553937221590105
317,157,0.6547383284368514
318,114,0.6540835901084145
319,126,0.6534295065183061
320,137,0.6527760770117879
321,154,0.6521233009347761
322,126,0.6514711776338413
323,102,0.6508197064562075
324,121,0.6501688867497513
325,126,0.6495187178630015
326,145,0.6488691991451385
327,96,0.6482203299459934
328,113,0.6475721096160474
329,104,0.6469245375064313
330,107,0.6462776129689248
331,112,0.645631335355956
332,131,0.6449857040206
333,123,0.6443407183165794
334,120,0.6436963775982628
335,129,0.6430526812206645
336,134,0.6424096285394438
337,98,0.6417672189109044
338,97,0.6411254516919934
339,101,0.6404843262403014
340,153,0.6398438419140611
341,219,0.639203998072147
342,105,0.6385647940740748
343,106,0.6379262292800008
344,136,0.6372883030507207
345,130,0.6366510147476699
346,162,0.6360143637329223
347,109,0.6353783493691894
348,147,0.6347429710198201
349,102,0.6341082280488003
350,200,0.6334741198207515
351,122,0.6328406457009308
352,134,0.6322078050552299
353,83,0.6315755972501746
354,112,0.6309440216529245
355,85,0.6303130776312715
356,106,0.6296827645536403
357,132,0.6290530817890866
358,95,0.6284240287072975
359,83,0.6277956046785902
360,98,0.6271678090739116
361,131,0.6265406412648377
362,98,0.6259141006235728
363,102,0.6252881865229492
364,101,0.6246628983364262
365,91,0.6240382354380898
366,88,0.6234141972026517
367,125,0.622790783005449
368,119,0.6221679922224436
369,109,0.6215458242302211
370,98,0.6209242784059908
371,143,0.6203033541275849
372,140,0.6196830507734573
373,114,0.6190633677226839
374,133,0.6184443043549612
375,145,0.6178258600506062
376,81,0.6172080341905556
377,112,0.6165908261563651
378,101,0.6159742353302087
379,100,0.6153582610948785
380,119,0.6147429028337835
381,93,0.6141281599309497
382,119,0.6135140317710187
383,107,0.6129005177392477
